HGNC.ID	ENSG	Symbol
HGNC:28121	ENSG00000288701	MGC10526
HGNC:28121	ENSG00000288701	LQFBS-1
HGNC:24903	ENSG00000117523	PRRC2C
HGNC:24903	ENSG00000117523	BAT2D1
HGNC:24903	ENSG00000117523	BAT2L2
HGNC:24903	ENSG00000117523	KIAA1096
HGNC:24903	ENSG00000117523	XTP2
HGNC:23949	ENSG00000216777	PRRC2CP1
HGNC:23949	ENSG00000216777	BAT2L2P1
HGNC:23949	ENSG00000216777	BAT2D1P1
HGNC:9469	ENSG00000130962	PRRG1
HGNC:9469	ENSG00000130962	PRGP1
HGNC:9470	ENSG00000126460	PRRG2
HGNC:9470	ENSG00000126460	PRGP2
HGNC:30798	ENSG00000130032	PRRG3
HGNC:30798	ENSG00000130032	TMG3
HGNC:30799	ENSG00000135378	PRRG4
HGNC:30799	ENSG00000135378	TMG4
HGNC:13943	ENSG00000204314	PRRT1
HGNC:13943	ENSG00000204314	C6orf31
HGNC:13943	ENSG00000204314	NG5
HGNC:13943	ENSG00000204314	IFITMD7
HGNC:13943	ENSG00000204314	DSPD1
HGNC:53642	ENSG00000283526	PRRT1B
HGNC:53642	ENSG00000283526	IFITMD8
HGNC:53642	ENSG00000283526	DSPD2
HGNC:30500	ENSG00000167371	PRRT2
HGNC:30500	ENSG00000167371	ICCA
HGNC:30500	ENSG00000167371	DYT10
HGNC:30500	ENSG00000167371	FLJ25513
HGNC:30500	ENSG00000167371	DKFZp547J199
HGNC:30500	ENSG00000167371	IFITMD1
HGNC:30500	ENSG00000167371	FICCA
HGNC:30500	ENSG00000167371	DSPB3
HGNC:30500	ENSG00000167371	PKC
HGNC:30500	ENSG00000167371	EKD1
HGNC:26591	ENSG00000163704	PRRT3
HGNC:26591	ENSG00000163704	FLJ33674
HGNC:41151	ENSG00000230082	PRRT3-AS1
HGNC:37280	ENSG00000224940	PRRT4
HGNC:9142	ENSG00000116132	PRRX1
HGNC:9142	ENSG00000116132	PMX1
HGNC:9142	ENSG00000116132	PHOX1
HGNC:21338	ENSG00000167157	PRRX2
HGNC:21338	ENSG00000167157	PRX2
HGNC:21338	ENSG00000167157	PMX2
HGNC:50684	ENSG00000236024	PRRX2-AS1
HGNC:9471		PRS
HGNC:9471		MRXS2
HGNC:9473		PRSM1
HGNC:9474		PRSM2
HGNC:9475	ENSG00000204983	PRSS1
HGNC:9475	ENSG00000204983	TRY1
HGNC:9483	ENSG00000275896	PRSS2
HGNC:9483	ENSG00000275896	TRY2
HGNC:9486	ENSG00000010438	PRSS3
HGNC:9486	ENSG00000010438	PRSS4
HGNC:9486	ENSG00000010438	TRY3
HGNC:9486	ENSG00000010438	TRY4
HGNC:43787	ENSG00000250591	PRSS3P1
HGNC:43787	ENSG00000250591	TRY5
HGNC:43788		PRSS3P2
HGNC:43788		TRY6
HGNC:43790	ENSG00000277083	PRSS3P3
HGNC:43790	ENSG00000277083	TRY3
HGNC:43789	ENSG00000204982	PRSS3P4
HGNC:9487		PRSS4
HGNC:9487		TRY4
HGNC:9488		PRSS5
HGNC:9489		PRSS6
HGNC:9491	ENSG00000052344	PRSS8
HGNC:9491	ENSG00000052344	CAP1
HGNC:9492		PRSS9
HGNC:9477	ENSG00000164099	PRSS12
HGNC:9477	ENSG00000164099	BSSP-3
HGNC:9477	ENSG00000164099	MRT1
HGNC:9478		PRSS14
HGNC:9480	ENSG00000112812	PRSS16
HGNC:9480	ENSG00000112812	TSSP
HGNC:9481		PRSS17
HGNC:13419		PRSS18
HGNC:13419		Bssp
HGNC:13419		AI849898
HGNC:13419		Klk7
HGNC:13419		neurosin
HGNC:13419		Klk6
HGNC:9482		PRSS19
HGNC:9484		PRSS20
HGNC:9485	ENSG00000007038	PRSS21
HGNC:9485	ENSG00000007038	ESP-1
HGNC:9485	ENSG00000007038	TEST1
HGNC:14368	ENSG00000005001	PRSS22
HGNC:14368	ENSG00000005001	hBSSP-4
HGNC:14368	ENSG00000005001	BSSP-4
HGNC:14368	ENSG00000005001	SP001LA
HGNC:14370	ENSG00000150687	PRSS23
HGNC:14370	ENSG00000150687	SPUVE
HGNC:14370	ENSG00000150687	SIG13
HGNC:15475	ENSG00000172382	PRSS27
HGNC:15475	ENSG00000172382	MPN
HGNC:15475	ENSG00000172382	CAPH2
HGNC:17542	ENSG00000196364	PRSS29P
HGNC:17542	ENSG00000196364	Isp2
HGNC:28753	ENSG00000172460	PRSS30P
HGNC:28753	ENSG00000172460	TMPRSS8
HGNC:28753	ENSG00000172460	TMPRSS8P
HGNC:28753	ENSG00000172460	Disp
HGNC:28753	ENSG00000172460	MGC5228
HGNC:30405	ENSG00000103355	PRSS33
HGNC:30405	ENSG00000103355	EOS
HGNC:21387	ENSG00000146250	PRSS35
HGNC:21387	ENSG00000146250	C6orf158
HGNC:21387	ENSG00000146250	MGC46520
HGNC:21387	ENSG00000146250	dJ223E3.1
HGNC:26906	ENSG00000178226	PRSS36
HGNC:26906	ENSG00000178226	FLJ90661
HGNC:29211	ENSG00000165076	PRSS37
HGNC:29625	ENSG00000185888	PRSS38
HGNC:29625	ENSG00000185888	MPN2
HGNC:37319	ENSG00000183292	PRSS40A
HGNC:37319	ENSG00000183292	TISP43
HGNC:27164	ENSG00000184761	PRSS40B
HGNC:30715	ENSG00000215148	PRSS41
HGNC:30715	ENSG00000215148	TESSP1
HGNC:30716	ENSG00000178055	PRSS42P
HGNC:30716	ENSG00000178055	PRSS42
HGNC:30716	ENSG00000178055	TESSP2
HGNC:37323	ENSG00000286651	PRSS43P
HGNC:37323	ENSG00000286651	PRSS43
HGNC:37323	ENSG00000286651	TESSP3
HGNC:37324	ENSG00000226074	PRSS44P
HGNC:37324	ENSG00000226074	PRSS44
HGNC:37324	ENSG00000226074	TESSP4
HGNC:30717	ENSG00000188086	PRSS45P
HGNC:30717	ENSG00000188086	PRSS45
HGNC:30717	ENSG00000188086	TESSP5
HGNC:30717	ENSG00000188086	TESPL
HGNC:37325	ENSG00000261603	PRSS46P
HGNC:37325	ENSG00000261603	PRSS46
HGNC:37325	ENSG00000261603	TESSP6
HGNC:37326	ENSG00000276717	PRSS47P
HGNC:37326	ENSG00000276717	PRSS47
HGNC:24635	ENSG00000189099	PRSS48
HGNC:24635	ENSG00000189099	ESSPL
HGNC:17910	ENSG00000283706	PRSS50
HGNC:17910	ENSG00000283706	TSP50
HGNC:17910	ENSG00000283706	CT20
HGNC:37321	ENSG00000253649	PRSS51
HGNC:37322	ENSG00000285237	PRSS52P
HGNC:34407	ENSG00000151006	PRSS53
HGNC:34407	ENSG00000151006	POL3S
HGNC:26336	ENSG00000103023	PRSS54
HGNC:26336	ENSG00000103023	FLJ25339
HGNC:26336	ENSG00000103023	KLKBL4
HGNC:26336	ENSG00000103023	CT67
HGNC:30824	ENSG00000184647	PRSS55
HGNC:30824	ENSG00000184647	T-SP1
HGNC:30824	ENSG00000184647	UNQ9391
HGNC:30824	ENSG00000184647	CT153
HGNC:39433	ENSG00000237412	PRSS56
HGNC:31397	ENSG00000185198	PRSS57
HGNC:31397	ENSG00000185198	PRSSL1
HGNC:31397	ENSG00000185198	UNQ782
HGNC:39125	ENSG00000258223	PRSS58
HGNC:39125	ENSG00000258223	TRYX3
HGNC:43791	ENSG00000186163	PRSS59P
HGNC:43791	ENSG00000186163	TRY2P
HGNC:43791	ENSG00000186163	Tryx5
HGNC:9493		PRSSL1
HGNC:23333	ENSG00000099256	PRTFDC1
HGNC:23333	ENSG00000099256	HHGP
HGNC:26373	ENSG00000166450	PRTG
HGNC:26373	ENSG00000166450	FLJ25756
HGNC:26373	ENSG00000166450	IGDCC5
HGNC:9494		PRTH
HGNC:9495	ENSG00000196415	PRTN3
HGNC:9495	ENSG00000196415	PR-3
HGNC:9495	ENSG00000196415	ACPA
HGNC:9495	ENSG00000196415	C-ANCA
